Sample,Analysis,U_ppm,Th_ppm,Pb_ppm,Th/U,206Pb_cps,206Pb_204Pb,206Pb_204Pb_1s,208Pb_232Th,208Pb_232Th_2s,207Pb_235U,207Pb_235U_2s,206Pb_238U,206Pb_238U_2s,error_corr.,238U_206Pb,238U_206Pb_2s,207Pb_206Pb,207Pb_206Pb_2s,208Pb_232Th_date,208Pb_232Th_2s_(Ma),208Pb_232Th_2s-sys_(Ma),207Pb_206Pb_date,207Pb_206Pb_2s_(Ma),207Pb_206Pb_2s-sys_(Ma),207Pb_235U_date,207Pb_235U_2s_(Ma),207Pb_235U_2s-sys_(Ma),206Pb_238U_date,206Pb_238U_2s_(Ma),206Pb_238U_2s-sys_(Ma),7/6 disc._(%),disc._(%),2s_(%),P,Ti,Y,Zr,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U,Ti-in-zircon_T(C),Ce/Ce*,Eu/Eu*,?REE,(Gd/Yb)cn,Lu/Hf,Nb/Ta,Nb/U,Nb/Th,Th/U,Th/Y,Hf/Y,Nb/Yb,U/Yb,location,Experiment,Notes
BM22-1,BM22-1 M 138,2992,3262,6.98,1.09,6537,155,4,0.00048,7.334123433,0.010028005,9.712602162,0.001734026,3.506580404,0.349672691,576.69,3.5,0.04194,9.1,9.73,0.713,0.782,-230,228,229,10.1,0.979,0.987,11.2,0.391,0.404,,-10.2,11.3,644,3.92,11870,,10.7,0.449,97.6,4.17,61.7,82,7.54,336,108,1168,414,1708,348,2968,510,3030,2.87,3262,2992,707,17.5,0.14,7814.13,0.09,0.17,3.72,0,0,1.09,0.27,0.26,0.004,1.008,core,Zircon_07Sep22_Hodgin_2,
BM22-1,BM22-1 M 140,2285,857,4.63,0.375,4790,329,6,0.00056,13.023195,0.011799719,11.42728774,0.001729599,6.690247464,0.580400969,578.17,6.7,0.04948,9.3,11.4,1.48,1.53,171,216,217,11.9,1.35,1.36,11.1,0.745,0.752,,6.5,12.3,450,4.04,5039,,37.3,0.264,48.1,0.252,3.64,12.1,0,94.7,35.7,465,179,752,153,1326,234,4765,9.86,857,2285,710,45.66,0,3304.59,0.06,0.05,3.78,0.02,0.04,0.38,0.17,0.95,0.028,1.723,core,Zircon_07Sep22_Hodgin_2,
BM22-1,BM22-1 M 142,588,340,1.23,0.578,1226,150,3,0.00053,16.8205706,0.012076795,17.77778892,0.001691161,6.646561912,0.370594004,591.31,6.6,0.05179,16.5,10.8,1.81,1.85,276,378,378,12.2,2.15,2.16,10.9,0.723,0.73,,10.6,16.9,378,5.61,4363,,3.25,0,15.2,0.414,8.34,18.7,1.45,109,37,430,155,640,128,1100,194,3371,1.35,340,588,740,77.84,0.1,2837.31,0.08,0.06,2.4,0.01,0.01,0.58,0.08,0.77,0.003,0.534,core,Zircon_07Sep22_Hodgin_2,
BM22-1,BM22-1 M 143,373,187,0.802,0.503,769,188,8,0.00064,22.60080699,0.011794775,33.56743263,0.001746846,9.495365302,0.281660269,572.46,9.5,0.04897,32.2,12.9,2.92,2.95,146,755,755,11.9,3.97,3.98,11.3,1.07,1.07,,5.5,32.8,244,7.53,3706,,2.46,0,9.23,0.49,8.89,21.4,3.45,99.5,31.9,382,137,570,113,928,176,2833,0.883,187,373,768,22.67,0.23,2480.6,0.09,0.06,2.78,0.01,0.01,0.5,0.05,0.76,0.003,0.401,core,Zircon_07Sep22_Hodgin_2,
BM22-1,BM22-1 M 144,2664,1389,5.35,0.521,5599,1369,22,0.00054,9.453225998,0.010602376,13.43850621,0.001650592,5.302258546,0.389126313,605.84,5.3,0.04659,12.3,10.9,1.03,1.09,28.1,296,297,10.7,1.43,1.44,10.6,0.563,0.572,,0.7,14.3,520,2.34,5046,,36.5,1.09,54.1,0.852,6.28,12.2,,99.7,37.7,476,179,762,151,1272,218,5083,11.3,1389,2664,664,13.76,,3269.63,0.06,0.04,3.22,0.01,0.03,0.52,0.28,1.01,0.029,2.095,core,Zircon_07Sep22_Hodgin_2,
BM22-1,BM22-1 M 145,953,621,1.87,0.652,1833,224,12,0.0005,16.30215187,0.008438322,25.4024388,0.001577343,5.367095679,0.208444333,633.98,5.4,0.0388,24.8,10.1,1.65,1.68,-430,652,652,8.53,2.16,2.16,10.2,0.545,0.553,,-19.1,30.8,397,4.26,6609,,4.8,0,27.4,0.676,13.7,28.2,1.95,154,51.9,630,225,982,199,1643,297,2966,1.93,621,953,715,50.33,0.09,4253.43,0.08,0.1,2.49,0.01,0.01,0.65,0.09,0.45,0.003,0.58,core,Zircon_07Sep22_Hodgin_2,
BM22-1,BM22-1 M 147,1384,665,2.81,0.48,2882,186,2,0.00059,15.57491433,0.013007028,10.48699789,0.001656428,3.508440955,0.324033253,603.71,3.5,0.05695,9.9,11.9,1.85,1.89,490,218,219,13.1,1.37,1.38,10.7,0.374,0.387,,18.7,8.9,1232,3.25,4158,,16.1,72.5,246,37,214,70.3,0.343,153,39.8,424,148,627,121,1021,178,4572,4.28,665,1384,691,1.16,0.01,3352.08,0.12,0.04,3.75,0.01,0.02,0.48,0.16,1.1,0.016,1.355,overgrowth,Zircon_07Sep22_Hodgin_2,
BM22-1,BM22-1 M 149,3785,2693,7.64,0.711,7698,282,9,0.00052,8.126668302,0.010003749,7.994613182,0.00158003,2.281050991,0.264101536,632.9,2.3,0.04592,7.7,10.4,0.848,0.914,-7,185,186,10.1,0.804,0.814,10.2,0.232,0.25,,-0.7,8.3,609,3.01,6363,,45.6,0,74.8,0.218,4.54,17,0.089,135,50.7,609,231,958,186,1499,263,4457,11.9,2693,3785,685,302.51,0.01,4028.05,0.07,0.06,3.82,0.01,0.02,0.71,0.42,0.7,0.03,2.525,core,Zircon_07Sep22_Hodgin_2,
BM22-1,BM22-1 M 150,621,222,1.27,0.358,1340,26,1,0.00079,16.69539993,0.009650411,30.33776777,0.001687269,6.32106175,0.206338063,592.67,6.3,0.04148,29.7,16.1,2.68,2.73,-258,752,752,9.75,2.94,2.95,10.9,0.686,0.694,,-11.4,34.4,276,2.45,2466,,4.92,0.1,13.6,0.125,2.56,7.7,0.359,45.8,16.7,216,83.6,374,76.6,672,120,4646,1.98,222,621,668,30.16,0.06,1628.22,0.06,0.03,2.49,0.01,0.02,0.36,0.09,1.88,0.007,0.924,overgrowth,Zircon_07Sep22_Hodgin_2,
IR22-1,IR22-1 L 70,1116,487,2.32,0.436,2214,110,2,0.00055,16.06953603,0.014865837,12.7451648,0.001769117,3.763068939,0.292887677,565.25,3.8,0.06094,12.2,11,1.77,1.8,637,262,262,15,1.9,1.91,11.4,0.428,0.452,,24,10,517,2.36,5018,,12.1,0.02,24.8,0.299,5.77,16.1,1.35,107,40.3,498,191,767,158,1244,224,5178,3.2,487,1116,665,79.61,0.1,3279.37,0.07,0.04,3.77,0.01,0.02,0.44,0.1,1.03,0.01,0.897,,Zircon_07Sep22_Hodgin_1,
